epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.9924,1.17626,3.25052,1.4245,0.14041,0.16869,0.14362,0.09436,1.09888,3.31998,1.27539,0.000402778,0.000402778,0.000402778
2,88.0943,1.11052,2.21794,1.33107,0.65375,0.18046,0.32379,0.21348,1.23784,2.73552,1.41279,0.000792403,0.000792403,0.000792403
3,120.843,1.11359,2.03852,1.34858,0.55995,0.31455,0.3743,0.2319,1.28548,2.53711,1.43475,0.00115453,0.00115453,0.00115453
4,153.671,1.1096,1.80379,1.29983,0.53596,0.48945,0.45607,0.30627,1.33768,2.11757,1.53465,0.00112625,0.00112625,0.00112625
5,186.414,1.08268,1.76579,1.31476,0.57382,0.51431,0.53417,0.40078,1.17645,1.96369,1.3706,0.001085,0.001085,0.001085
6,219.651,1.04627,1.68408,1.26119,0.60385,0.49125,0.53149,0.40711,1.11849,2.29982,1.32858,0.00104375,0.00104375,0.00104375
7,252.41,1.01313,1.64236,1.26327,0.51476,0.57867,0.56432,0.42838,1.06975,2.06265,1.30258,0.0010025,0.0010025,0.0010025
8,286.295,1.00123,1.55216,1.22862,0.6577,0.46096,0.49583,0.36618,1.21976,2.18408,1.40071,0.00096125,0.00096125,0.00096125
9,319.183,0.99746,1.52023,1.23381,0.74416,0.55323,0.65964,0.47558,1.05964,1.61414,1.26919,0.00092,0.00092,0.00092
10,351.741,0.96292,1.44196,1.21835,0.75912,0.62392,0.72838,0.53975,0.99696,1.51511,1.24064,0.00087875,0.00087875,0.00087875
11,384.274,0.92567,1.42367,1.21789,0.67972,0.6247,0.64579,0.46594,1.01355,1.74735,1.28004,0.0008375,0.0008375,0.0008375
12,416.78,0.91743,1.40324,1.19421,0.73028,0.67636,0.706,0.51443,0.9913,1.55012,1.26822,0.00079625,0.00079625,0.00079625
13,449.585,0.89947,1.37224,1.18574,0.78387,0.59248,0.71681,0.53967,0.95265,1.42675,1.2248,0.000755,0.000755,0.000755
14,482.44,0.88282,1.29125,1.16239,0.67812,0.64677,0.69113,0.49121,1.07782,1.67829,1.31711,0.00071375,0.00071375,0.00071375
15,515.012,0.86473,1.24057,1.17147,0.79186,0.72432,0.78246,0.58842,0.90093,1.34979,1.19044,0.0006725,0.0006725,0.0006725
16,547.828,0.85271,1.21958,1.14004,0.81633,0.71142,0.79191,0.5772,0.93172,1.27857,1.18904,0.00063125,0.00063125,0.00063125
17,580.939,0.82118,1.15409,1.12964,0.77443,0.70938,0.77699,0.58655,0.89566,1.2441,1.1794,0.00059,0.00059,0.00059
18,611.871,0.77568,1.1002,1.11368,0.79861,0.74748,0.83113,0.64736,0.83642,1.12411,1.11692,0.00054875,0.00054875,0.00054875
19,641.977,0.75842,1.06555,1.09132,0.80849,0.72584,0.81969,0.65127,0.8316,1.09524,1.13457,0.0005075,0.0005075,0.0005075
20,672.318,0.76757,1.04754,1.10177,0.78134,0.71304,0.79949,0.61805,0.82067,1.10214,1.12806,0.00046625,0.00046625,0.00046625
21,701.853,0.74672,1.13918,1.10329,0.74777,0.72047,0.79972,0.61467,0.85948,1.32768,1.14411,0.000425,0.000425,0.000425
22,732.765,0.71904,1.04065,1.08996,0.77846,0.73491,0.80445,0.6266,0.7951,1.16873,1.10401,0.00038375,0.00038375,0.00038375
23,764.892,0.68505,0.99959,1.07129,0.90119,0.6643,0.83408,0.65651,0.74391,1.04412,1.0711,0.0003425,0.0003425,0.0003425
24,796.936,0.66066,0.91832,1.05886,0.85664,0.75209,0.86746,0.70309,0.70615,0.93203,1.03466,0.00030125,0.00030125,0.00030125
25,829.009,0.65214,0.86615,1.04268,0.80592,0.80585,0.8917,0.7234,0.71992,0.90412,1.04797,0.00026,0.00026,0.00026
26,861.04,0.63021,0.83836,1.03299,0.87143,0.81435,0.89082,0.71114,0.71202,0.8655,1.05174,0.00021875,0.00021875,0.00021875
27,893.137,0.60302,0.81151,1.01841,0.80317,0.89212,0.89992,0.73053,0.69209,0.84043,1.04196,0.0001775,0.0001775,0.0001775
28,925.286,0.60581,0.7835,1.01819,0.8932,0.83419,0.91332,0.74571,0.65948,0.80465,1.01979,0.00013625,0.00013625,0.00013625
29,961.447,0.5908,0.76829,1.00523,0.89407,0.87169,0.92213,0.76244,0.64281,0.75104,1.01458,9.5e-05,9.5e-05,9.5e-05
30,1004.2,0.58301,0.77099,1.02404,0.89502,0.86839,0.92042,0.76042,0.63783,0.76832,1.00885,5.375e-05,5.375e-05,5.375e-05
